path	change	packet	action	owner_tier	status	test	notes
intern/ghost/intern/GHOST_WindowIOS.mm	A	P240	rewrite	F	mapped	T2 window compile and T4 window_created marker	window seam
intern/ghost/intern/GHOST_WindowViewCocoa.hh	M	P240	adapt	F	mapped	T2 window compile and T4 window_created marker	window seam
intern/opensubdiv/internal/evaluator/eval_output_gpu.h	M	P510	defer	M	mapped	T6 OpenSubdiv smoke	after Workbench first pixel
intern/opensubdiv/internal/evaluator/gpu_compute_evaluator.cc	M	P510	defer	M	mapped	T6 OpenSubdiv smoke	after Workbench first pixel
lib/ios_arm64	A	P110	drop	S	mapped	T0 storage path contract	source-tree install link conflicts with external immutable prefixes
release/darwin/Blender.app/Contents/Resources/Blender_Legacy_Document_Icon.icns	M	P140	drop	S	mapped	T3 bundle resource audit	desktop asset churn is not required
release/darwin/Blender.app/Contents/Resources/blender_icon.icns	M	P140	drop	S	mapped	T3 bundle resource audit	desktop asset churn is not required
release/ios/Blender.app/Assets/arrowdown.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/arrowleft.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/arrowright.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/arrowup.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/blender_icon.icns	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/crossc.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/eraser.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/eyedropper.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/knife.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/paint_cursor_cross.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/paint_cursor_dot.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/pen.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/scrollew.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/scrollns.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/scrollnsew.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/splith.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/splitv.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/zoomin.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Assets/zoomout.pdf	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/Blender.app/Info.plist	A	P200	adapt	F	mapped	T3 bundle audit and T4 scene_connected marker	UIKit app shell
release/ios/Blender.app/Main.storyboard	A	P200	adapt	F	mapped	T3 bundle audit and T4 scene_connected marker	UIKit app shell
release/ios/Blender.app/PkgInfo	A	P200	adapt	F	mapped	T3 bundle audit and T4 scene_connected marker	UIKit app shell
release/ios/Blender.app/blender	A	P200	adapt	F	mapped	T3 bundle audit and T4 scene_connected marker	UIKit app shell
release/ios/README.md	A	P140	drop	S	mapped	T0 documentation audit	superseded by port handoff documentation
release/ios/background.tif	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/buildbot/background.tif	A	P140	reuse	S	mapped	T3 bundle resource audit	donor bundle asset
release/ios/entitlements.plist	A	P130	rewrite	F	mapped	T0/T3 unsigned signing contamination audit	owner entitlements are excluded from unsigned staging
scripts/modules/rna_keymap_ui.py	M	P350	adapt	M	mapped	T1 keymap and preference tests	input preference UI
scripts/presets/keyconfig/keymap_data/blender_default.py	M	P310	adapt	M	mapped	T1 touch translator and keymap tests	touch operator and keymap
scripts/startup/bl_operators/__init__.py	M	P310	adapt	M	mapped	T1 touch translator and keymap tests	touch operator and keymap
scripts/startup/bl_operators/touch.py	A	P310	adapt	M	mapped	T1 touch translator and keymap tests	touch operator and keymap
scripts/startup/bl_ui/space_topbar.py	M	P420	adapt	M	mapped	T5 simulator open/save smoke	sandbox file UI
scripts/startup/bl_ui/space_userpref.py	M	P350	adapt	M	mapped	T1 keymap and preference tests	input preference UI
source/blender/blendthumb/CMakeLists.txt	M	P120	adapt	F	mapped	T2 host-tool execution and target-output audit	host/target split
source/blender/blenkernel/BKE_context.hh	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/blenkernel/intern/appdir.cc	M	P400	adapt	M	mapped	T4 bundled resource path smoke	bundle resource path
source/blender/blenlib/BLI_vector.hh	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/blenlib/intern/storage_apple.mm	M	P410	adapt	M	mapped	T1 URL ownership and T5 file round-trip	sandbox file access
source/blender/blentranslation/intern/messages_apple.mm	M	P400	adapt	M	mapped	T4 bundled resource path smoke	bundle resource path
source/blender/blentranslation/msgfmt/CMakeLists.txt	M	P120	adapt	F	mapped	T2 host-tool execution and target-output audit	host/target split
source/blender/datatoc/CMakeLists.txt	M	P120	adapt	F	mapped	T2 host-tool execution and target-output audit	host/target split
source/blender/draw/engines/eevee/shaders/eevee_ray_denoise_spatial_comp.glsl	M	P520	defer	F	mapped	T6 EEVEE smoke	after Workbench first pixel
source/blender/editors/interface/interface_handlers.cc	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/editors/interface/view2d/view2d_ops.cc	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/editors/sculpt_paint/mesh/paint_vertex.cc	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/editors/space_file/CMakeLists.txt	M	P410	adapt	M	mapped	T1 URL ownership and T5 file round-trip	sandbox file access
source/blender/editors/space_file/fsmenu_system.mm	A	P410	rewrite	M	mapped	T1 URL ownership and T5 file round-trip	sandbox file access
source/blender/editors/space_file/fsmenu_system_ios.mm	A	P410	rewrite	M	mapped	T1 URL ownership and T5 file round-trip	sandbox file access
source/blender/editors/space_node/node_edit.cc	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/editors/space_view3d/view3d_gizmo_navigate.cc	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/editors/space_view3d/view3d_navigate_view_move.cc	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/editors/space_view3d/view3d_navigate_view_rotate.cc	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/gpu/intern/gpu_framebuffer_private.hh	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_backend.mm	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_command_buffer.mm	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_common.hh	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_context.hh	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_context.mm	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_immediate.hh	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_index_buffer.hh	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_index_buffer.mm	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_memory.hh	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_memory.mm	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_query.mm	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_shader.hh	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_shader.mm	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_storage_buffer.mm	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_texture.hh	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_texture.mm	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_texture_util.mm	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_vertex_buffer.hh	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/metal/mtl_vertex_buffer.mm	M	P500	rewrite	F	mapped	T6 Metal clear and Workbench frame	current Metal backend seam
source/blender/gpu/shader_tool/CMakeLists.txt	M	P120	adapt	F	mapped	T2 host-tool execution and target-output audit	host/target split
source/blender/makesdna/DNA_windowmanager_types.h	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/makesdna/intern/CMakeLists.txt	M	P120	adapt	F	mapped	T2 host-tool execution and target-output audit	host/target split
source/blender/makesrna/intern/CMakeLists.txt	M	P120	adapt	F	mapped	T2 host-tool execution and target-output audit	host/target split
source/blender/makesrna/intern/rna_screen.cc	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/makesrna/intern/rna_wm.cc	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/python/generic/CMakeLists.txt	M	P430	adapt	F	mapped	T4/T6 bundled Python startup smoke	target Python runtime
source/blender/python/mathutils/mathutils_Matrix.cc	M	P430	adapt	F	mapped	T4/T6 bundled Python startup smoke	target Python runtime
source/blender/windowmanager/WM_api.hh	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/windowmanager/WM_types.hh	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/windowmanager/intern/wm.cc	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/windowmanager/intern/wm_event_system.cc	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/windowmanager/intern/wm_files.cc	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/windowmanager/intern/wm_keymap.cc	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/blender/windowmanager/wm_event_types.hh	M	P300	adapt	M	mapped	T1 input/coordinate seam regression	window-manager and editor integration
source/creator/CMakeLists.txt	M	P130	rewrite	F	mapped	T0/T3 signing-mode audit	isolate donor automatic codesigning
source/creator/creator.cc	M	P200	adapt	F	mapped	T4 blender_main marker	UIKit process entry
